Random num1,Random num2,Random num3,Random num4
0.157282234,0.38213356,0.816346846,0.028924037
0.95375486,0.91831606,0.749419698,0.130068853
0.755053081,0.181175729,0.264144794,0.040371648
0.0775371,0.544828318,0.755847606,0.80486131
0.020557776,0.90410996,0.129286567,0.312188713
0.651851314,0.271316836,0.891897874,0.596183927
0.145740674,0.578065467,0.795034373,0.308883751
0.386295817,0.28417583,0.692421209,0.056680603
0.361127511,0.331117971,0.053513573,0.794463584
0.680266651,0.620763446,0.123716161,0.71641421
0.488388046,0.155346811,0.571968168,0.967734514
0.486638708,0.844085107,0.178603437,0.183383853
0.814524026,0.94853984,0.218447737,0.106790206
0.831173157,0.169301817,0.341532001,0.311973118
0.839124509,0.258779698,0.227111944,0.835416655
0.33868267,0.670644267,0.55207992,0.427461223
0.038645117,0.611794025,0.142078215,0.226824237
0.297827672,0.602267255,0.629831208,0.942169036
0.509506774,0.119372272,0.928589606,0.533369635
0.269465899,0.050084209,0.420050675,0.948988332
0.979905494,0.057999045,0.574336314,0.596018428
0.651946732,0.159771615,0.711014973,0.593151795
0.435258734,0.382930415,0.343777832,0.038433469
0.673946376,0.382821721,0.537844421,0.223700397
0.794893305,0.977472432,0.538873091,0.902920014
0.185388486,0.179697189,0.75758004,0.601945934
0.345901731,0.065890904,0.799631732,0.373494245
0.346132144,0.447068932,0.784398547,0.597967445
0.069224256,0.274816033,0.514213724,0.987910414
0.457201337,0.336911132,0.739523948,0.616396762
0.167974224,0.425216996,0.400789366,0.726694594
0.170748847,0.675447251,0.010517393,0.186685663
0.256133667,0.691626156,0.316138125,0.873666511
0.757520368,0.94911543,0.416310866,0.898992375
0.960792346,0.933283087,0.628524059,0.268028212
0.351061369,0.106877933,0.834763998,0.020686735
0.494244087,0.353194079,0.657901913,0.045968402
0.918717674,0.216934226,0.478009452,0.949199042
0.23421531,0.430705357,0.685865902,0.552352357
0.208443335,0.262822821,0.597139335,0.866556061
0.582537343,0.80351887,0.326445488,0.316746306
0.495978457,0.405341785,0.502945792,0.909326819
0.475541634,0.581467893,0.60348319,0.442316697
0.966949039,0.930099267,0.841746731,0.067676015
0.617655714,0.012330828,0.805922516,0.88070453
0.055022858,0.978380067,0.008725689,0.043622181
0.67875084,0.707704584,0.135917349,0.346718535
0.94789396,0.580792488,0.264431077,0.390364621
0.135253864,0.234459682,0.11795773,0.616860308
0.307949149,0.132245109,0.342389636,0.632337599
0.755533453,0.913024772,0.401303589,0.88432948
0.202047006,0.640094717,0.081071978,0.767976007
0.291116234,0.805994438,0.643352782,0.366449733
0.749452451,0.091464247,0.091698158,0.105069155
0.842969124,0.575049156,0.029214705,0.605843619
0.405780825,0.413837771,0.000260231,0.355873403
0.00123896,0.395179208,0.421244403,0.535621614
0.051764168,0.027725749,0.758804156,0.88669673
0.8865841,0.928587899,0.13622903,0.135201201
0.49179023,0.418998843,0.121641277,0.804371301
0.586086556,0.412741042,0.828385963,0.779202114
0.232976753,0.627349727,0.513250419,0.521418457
0.945082119,0.306832232,0.021732835,0.15422542
0.941652695,0.497723667,0.285022709,0.011180314
0.965374133,0.964150173,0.09185538,0.670596839
0.128063277,0.041731091,0.471798631,0.010257484
0.885226854,0.513935098,0.433621284,0.319424413
0.323877019,0.404463659,0.849933807,0.788576485
0.11664012,0.836083464,0.156006027,0.822823709
0.076870229,0.307478187,0.018269827,0.101639322
0.937423097,0.693860809,0.027792782,0.566890457
0.254083787,0.190306584,0.341715742,0.130747288
0.746463053,0.95080427,0.215609336,0.719970658
0.668824281,0.89090501,0.726887034,0.928501046
0.746955922,0.131515201,0.378677998,0.568369184
0.57447294,0.86287846,0.558703372,0.517794895
0.192408714,0.747115249,0.393450629,0.756261736
0.479771693,0.61541626,0.065181144,0.623545802
0.732215592,0.872237318,0.335912854,0.468858315
0.98149145,0.729226635,0.582681869,0.781370845
0.65590068,0.853672519,0.622737916,0.498165851
0.368201301,0.215508646,0.390248504,0.115328897
0.996374902,0.723167335,0.500363719,0.182698427
0.169665815,0.316034114,0.822969687,0.493294441
0.877642026,0.65760344,0.777984163,0.586000642
0.886382414,0.448052361,0.546349709,0.62380391
0.80055372,0.370990511,0.891839921,0.972933716
0.381050343,0.229924951,0.706860625,0.090028024
0.191843693,0.74791122,0.945277348,0.802683636
0.509234883,0.973539229,0.642086648,0.624358281
0.732806811,0.015666305,0.870069515,0.054724274
0.127676747,0.441076932,0.317708187,0.199856454
0.563190921,0.273219392,0.093900769,0.138459104
0.24533423,0.685413256,0.894625201,0.096963079
0.844763645,0.212826909,0.831383307,0.681837858
0.100997167,0.430959616,0.466219729,0.509877785
0.708551937,0.795446719,0.81525934,0.80570553
0.832417408,0.205500947,0.576142041,0.954145742
0.727750716,0.969013253,0.28464572,0.534465887
0.240152313,0.662935417,0.659951414,0.627875138
0.339175724,0.922549394,0.307494703,0.849380459
0.790434119,0.544298512,0.768872494,0.733011958
0.259017481,0.289269716,0.367999751,0.255026065
0.931908097,0.152145348,0.52282678,0.03006507
0.487536157,0.112397198,0.30834175,0.143463825
0.37494789,0.139080293,0.458645377,0.110491625
0.483433608,0.971566798,0.564314772,0.499912486
0.814388786,0.68392504,0.672014536,0.247214665
0.719332124,0.302939065,0.608165175,0.089147638
0.951738479,0.794579343,0.917267977,0.772067037
0.275274549,0.908960717,0.956313189,0.015448471
0.055064754,0.664323679,0.643130489,0.53165595
0.145046823,0.266741645,0.501302315,0.254954867
0.583630468,0.707236621,0.564214069,0.899027952
0.010852886,0.685947834,0.73180003,0.332320103
0.341393767,0.604114788,0.725263037,0.654879458
0.859949995,0.069235456,0.664276872,0.408942858
0.338617115,0.214185332,0.87114004,0.336151893
0.062423952,0.186473987,0.340407553,0.193103604
0.922456626,0.359992167,0.054690743,0.603435719
